County VOTE NO.High.School Graduate White African.American Asian.American Latino Children.Poverty Adults.Poverty Uninsured Unemployment
Stone TRUMP 21 4.5 77.8 19.45 0.15 1.45 29.3 16.1 0.217 0.089
PearlRiver TRUMP 19.6 4.5 82.85 12.5 0.45 2.45 32.2 11.5 0.228 0.094
George TRUMP 16.4 3.7 87.7 9 0.2 2.25 18.95 11.75 0.218 0.105
JeffersonDavis CLINT 26.7 3.1 39.8 58 1.2 0.5 55.1 13.3 0.234 0.115
Noxubee CLINT 34 4.2 27.45 70.65 0.1 0.5 53 23.9 0.264 0.153
Tishomingo TRUMP 24.3 3.6 93 2.95 0.15 3 34.85 16.95 0.229 0.106
Issaquena CLINT 40.3 1.2 36.5 62.85 0.2 0.3 61.85 21.7 0.228 0.137
Leake TRUMP 26.1 2.7 50.4 39 0.65 4.1 39.35 21.9 0.252 0.107
Sharkey CLINT 29.4 5.8 27.55 71.6 0.15 0.5 62.55 21.3 0.21 0.117
Smith TRUMP 22.7 6.1 74.85 23.85 0.05 1 38.05 13.35 0.225 0.086
Grenada TRUMP 26.1 5.8 56.2 41.75 0.35 0.9 41.55 23.45 0.192 0.096
Hinds CLINT 16.4 9.8 29.85 66.95 0.85 1.45 37.4 14.2 0.204 0.084
Lee TRUMP 19 6.5 69.55 26.7 0.6 2.05 32.05 12.1 0.173 0.087
Humphreys CLINT 37.1 3.8 23.3 74.05 0.1 1.55 64.8 28.6 0.214 0.159
Pike TRUMP 22.5 5.5 47.5 50.05 0.55 1.1 51.9 18.7 0.201 0.108
Madison TRUMP 12.1 15.3 57.35 37.85 1.85 2.3 18.05 11.1 0.15 0.065
Prentiss TRUMP 26.8 4.2 84 13.4 0.6 1.15 35.1 22.75 0.207 0.093
Marion TRUMP 25.7 4.8 65.1 32.85 0.2 0.85 35.85 21.9 0.226 0.105
Hancock TRUMP 16.8 7.6 86.95 7 0.85 2.85 20 9.35 0.233 0.086
Jackson TRUMP 15.4 6 70.45 21.7 2.05 4.05 23.85 9.45 0.199 0.098
Leflore CLINT 31.2 5.8 25.3 72.15 0.4 1.55 55.3 26 0.228 0.126
Scott TRUMP 29.2 3.7 51.3 37.65 0.15 10.2 36.9 16.3 0.274 0.075
Webster TRUMP 23.6 6.5 77.45 19.7 0.1 1.55 43.65 19 0.216 0.118
Adams CLINT 20.4 8.1 40.4 54.55 0.25 3.95 48.15 20.05 0.217 0.094
Choctaw TRUMP 19.3 3.9 67.4 31.25 0.35 0.45 28.65 22.8 0.214 0.099
Lincoln TRUMP 18.5 6.1 67.9 30.25 0.2 0.85 29.55 14.05 0.208 0.093
Lamar TRUMP 13.1 11.5 78.6 17.25 0.95 1.85 14.55 12.7 0.193 0.069
Warren TRUMP 17.1 9.1 49.9 46.55 0.85 1.65 31.25 17.45 0.184 0.102
Holmes CLINT 32.7 3.9 16.85 81.9 0.2 0.4 61.3 39.05 0.215 0.165
Attala TRUMP 28.1 6.2 55.8 41.65 0.2 1.8 39.65 21.1 0.211 0.111
Benton TRUMP 30.9 3 61 37.15 0.1 1 23.05 27.05 0.225 0.118
Kemper CLINT 32.5 2.9 36.05 59.15 0.6 0.45 34.35 24.5 0.254 0.127
Pontotoc TRUMP 24 4.4 79.95 13.55 0.25 4.75 24.2 20.55 0.234 0.08
Bolivar CLINT 28.5 7.9 32.45 64.7 0.5 1.75 61.15 20.95 0.199 0.104
Carroll TRUMP 23.7 3.1 64.65 33.35 0.45 0.9 47.55 14.05 0.234 0.09
Greene TRUMP 26.7 2.7 71.25 26.45 0.05 0.9 27.8 14 0.218 0.118
Marshall CLINT 30.7 2.7 48.85 47.45 0.2 2.5 43.35 16.9 0.231 0.117
Neshoba TRUMP 26.2 4.8 60.7 20.8 0.4 1.75 36.05 16.85 0.241 0.074
Perry TRUMP 20.8 3.7 76.6 21.95 0.15 0.55 24.8 19.6 0.22 0.098
Jones TRUMP 22.9 6.8 66.1 27.55 0.35 4.85 39.55 15.6 0.233 0.07
Walthall TRUMP 26.7 3.6 53 44.3 0.15 1.5 20.5 25.3 0.246 0.114
Calhoun TRUMP 32.6 2.5 66 28.55 0.05 4.75 29.5 24.2 0.25 0.095
Jasper CLINT 23.1 3.3 46.25 52.4 0.05 0.5 19.95 26.3 0.205 0.101
Jefferson CLINT 23.4 6.3 13.45 86.1 0 0.2 63.85 31.05 0.228 0.144
Monroe TRUMP 24.8 4.8 67.3 30.7 0.1 0.95 32.3 17.65 0.206 0.114
Union TRUMP 25.3 5 79.95 14.65 0.15 4 26.9 15.65 0.235 0.084
Lafayette TRUMP 14.6 17.8 70.95 24 1.95 1.9 25.85 12.05 0.225 0.073
Newton TRUMP 18.7 4.2 63.1 30.05 0.1 1.35 32.95 9.5 0.224 0.082
Oktibbeha CLINT 15.5 19.7 58.3 36.25 2.6 1.45 33.7 10.6 0.21 0.092
Simpson TRUMP 24 4.5 62.45 35.75 0.2 1.05 25.05 18.75 0.214 0.081
Washington CLINT 27.5 6.2 28.3 68.8 0.75 1.35 53.4 20.45 0.203 0.141
Lawrence TRUMP 20.5 4.8 66.3 31.6 0.15 1.5 25.7 16.05 0.214 0.105
